x_m y_m z_m T_K G_Kpm V_mps dTdt_Kps
-4.500000e-03 -4.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -4.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -4.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -4.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -4.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -4.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -4.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -4.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -4.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -4.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -3.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -3.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -3.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -3.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -3.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -3.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -3.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -3.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -3.000000e-03 -5.000000e-04 1.123001e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -3.000000e-03 0.000000e+00 1.123001e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -2.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -2.500000e-03 -1.500000e-03 1.123001e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -2.500000e-03 -1.000000e-03 1.123002e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -2.500000e-03 -5.000000e-04 1.123004e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -2.500000e-03 0.000000e+00 1.123005e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -2.000000e-03 -2.000000e-03 1.123001e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -2.000000e-03 -1.500000e-03 1.123004e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -2.000000e-03 -1.000000e-03 1.123011e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -2.000000e-03 -5.000000e-04 1.123019e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -2.000000e-03 0.000000e+00 1.123023e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -1.500000e-03 -2.000000e-03 1.123004e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -1.500000e-03 -1.500000e-03 1.123016e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -1.500000e-03 -1.000000e-03 1.123039e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -1.500000e-03 -5.000000e-04 1.123067e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -1.500000e-03 0.000000e+00 1.123081e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -1.000000e-03 -2.000000e-03 1.123011e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -1.000000e-03 -1.500000e-03 1.123039e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -1.000000e-03 -1.000000e-03 1.123096e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -1.000000e-03 -5.000000e-04 1.123166e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -1.000000e-03 0.000000e+00 1.123199e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -5.000000e-04 -2.000000e-03 1.123019e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -5.000000e-04 -1.500000e-03 1.123066e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -5.000000e-04 -1.000000e-03 1.123165e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -5.000000e-04 -5.000000e-04 1.123285e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -5.000000e-04 0.000000e+00 1.123342e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -4.336809e-18 -2.000000e-03 1.123022e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -4.336809e-18 -1.500000e-03 1.123079e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -4.336809e-18 -1.000000e-03 1.123197e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -4.336809e-18 -5.000000e-04 1.123341e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 -4.336809e-18 0.000000e+00 1.123409e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 5.000000e-04 -2.000000e-03 1.123019e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 5.000000e-04 -1.500000e-03 1.123066e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 5.000000e-04 -1.000000e-03 1.123165e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 5.000000e-04 -5.000000e-04 1.123285e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 5.000000e-04 0.000000e+00 1.123342e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 1.000000e-03 -2.000000e-03 1.123011e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 1.000000e-03 -1.500000e-03 1.123039e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 1.000000e-03 -1.000000e-03 1.123096e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 1.000000e-03 -5.000000e-04 1.123166e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 1.000000e-03 0.000000e+00 1.123199e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 1.500000e-03 -2.000000e-03 1.123004e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 1.500000e-03 -1.500000e-03 1.123016e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 1.500000e-03 -1.000000e-03 1.123039e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 1.500000e-03 -5.000000e-04 1.123067e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 1.500000e-03 0.000000e+00 1.123081e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 2.000000e-03 -2.000000e-03 1.123001e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 2.000000e-03 -1.500000e-03 1.123004e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 2.000000e-03 -1.000000e-03 1.123011e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 2.000000e-03 -5.000000e-04 1.123019e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 2.000000e-03 0.000000e+00 1.123023e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 2.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 2.500000e-03 -1.500000e-03 1.123001e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 2.500000e-03 -1.000000e-03 1.123002e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 2.500000e-03 -5.000000e-04 1.123004e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 2.500000e-03 0.000000e+00 1.123005e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 3.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 3.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 3.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
-4.500000e-03 3.000000e-03 -5.000000e-04 1.123001e+03 0.000000e+00 0.000000e+00 0.000000e+00
